"name","value","info"
"OPEID","234000","8-digit OPE ID for institution"
"OPEID6","2340","6-digit OPE ID for institution"
"INSTNM","Carleton College","Institution name"
"CITY","Northfield","City"
"STABBR","MN","State postcode"
"ZIP","55057-4001","ZIP code"
"ACCREDAGENCY","North Central Association of Colleges and Schools The Higher Learning Commission","Accreditor for institution"
"INSTURL","www.carleton.edu","URL for institution's homepage"
"NPCURL","https://apps.carleton.edu/admissions/afford/estimator/","URL for institution's net price calculator"
"SCH_DEG","3","Predominant degree awarded (recoded 0s and 4s)"
"HCM2","0","Schools that are on Heightened Cash Monitoring 2 by the Department of Education"
"MAIN","1","Flag for main campus"
"NUMBRANCH","1","Number of branch campuses"
"CONTROL","2","Control of institution"
"ST_FIPS","27","FIPS code for state"
"REGION","4","Region (IPEDS)"
"LOCALE","32","Locale of institution"
"LOCALE2",,"Degree of urbanization of institution"
"LATITUDE","44.462318","Latitude"
"LONGITUDE","-93.154666","Longitude"
"CCBASIC","21","Carnegie Classification -- basic"
"CCUGPROF","14","Carnegie Classification -- undergraduate profile"
"CCSIZSET","11","Carnegie Classification -- size and setting"
"HBCU","0","Flag for Historically Black College and University"
"PBI","0","Flag for predominantly black institution"
"ANNHI","0","Flag for Alaska Native Native Hawaiian serving institution"
"TRIBAL","0","Flag for tribal college and university"
"AANAPII","0","Flag for Asian American Native American Pacific Islander-serving institution"
"HSI","0","Flag for Hispanic-serving institution"
"NANTI","0","Flag for Native American non-tribal institution"
"MENONLY","0","Flag for men-only college"
"WOMENONLY","0","Flag for women-only college"
"RELAFFIL",,"Religous affiliation of the institution"
"ADM_RATE","0.2262","Admission rate"
"ADM_RATE_ALL","0.226214341","Admission rate for all campuses rolled up to the 6-digit OPE ID"
"SATVR25","660","25th percentile of SAT scores at the institution (critical reading)"
"SATVR75","770","75th percentile of SAT scores at the institution (critical reading)"
"SATMT25","660","25th percentile of SAT scores at the institution (math)"
"SATMT75","770","75th percentile of SAT scores at the institution (math)"
"SATWR25","660","25th percentile of SAT scores at the institution (writing)"
"SATWR75","750","75th percentile of SAT scores at the institution (writing)"
"SATVRMID","715","Midpoint of SAT scores at the institution (critical reading)"
"SATMTMID","715","Midpoint of SAT scores at the institution (math)"
"SATWRMID","705","Midpoint of SAT scores at the institution (writing)"
"ACTCM25","30","25th percentile of the ACT cumulative score"
"ACTCM75","33","75th percentile of the ACT cumulative score"
"ACTEN25",,"25th percentile of the ACT English score"
"ACTEN75",,"75th percentile of the ACT English score"
"ACTMT25",,"25th percentile of the ACT math score"
"ACTMT75",,"75th percentile of the ACT math score"
"ACTWR25",,"25th percentile of the ACT writing score"
"ACTWR75",,"75th percentile of the ACT writing score"
"ACTCMMID","32","Midpoint of the ACT cumulative score"
"ACTENMID",,"Midpoint of the ACT English score"
"ACTMTMID",,"Midpoint of the ACT math score"
"ACTWRMID",,"Midpoint of the ACT writing score"
"SAT_AVG","1413","Average SAT equivalent score of students admitted"
"SAT_AVG_ALL","1413","Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID"
"PCIP01","0","Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences."
"PCIP03","0.0201","Percentage of degrees awarded in Natural Resources And Conservation."
"PCIP04","0","Percentage of degrees awarded in Architecture And Related Services."
"PCIP05","0.0241","Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies."
"PCIP09","0","Percentage of degrees awarded in Communication, Journalism, And Related Programs."
"PCIP10","0","Percentage of degrees awarded in Communications Technologies/Technicians And Support Services."
"PCIP11","0.1006","Percentage of degrees awarded in Computer And Information Sciences And Support Services."
"PCIP12","0","Percentage of degrees awarded in Personal And Culinary Services."
"PCIP13","0","Percentage of degrees awarded in Education."
"PCIP14","0","Percentage of degrees awarded in Engineering."
"PCIP15","0","Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields."
"PCIP16","0.0302","Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics."
"PCIP19","0","Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences."
"PCIP22","0","Percentage of degrees awarded in Legal Professions And Studies."
"PCIP23","0.0644","Percentage of degrees awarded in English Language And Literature/Letters."
"PCIP24","0","Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities."
"PCIP25","0","Percentage of degrees awarded in Library Science."
"PCIP26","0.1127","Percentage of degrees awarded in Biological And Biomedical Sciences."
"PCIP27","0.0644","Percentage of degrees awarded in Mathematics And Statistics."
"PCIP29","0","Percentage of degrees awarded in Military Technologies And Applied Sciences."
"PCIP30","0.006","Percentage of degrees awarded in Multi/Interdisciplinary Studies."
"PCIP31","0","Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies."
"PCIP38","0.0282","Percentage of degrees awarded in Philosophy And Religious Studies."
"PCIP39","0","Percentage of degrees awarded in Theology And Religious Vocations."
"PCIP40","0.1268","Percentage of degrees awarded in Physical Sciences."
"PCIP41","0","Percentage of degrees awarded in Science Technologies/Technicians."
"PCIP42","0.0604","Percentage of degrees awarded in Psychology."
"PCIP43","0","Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
"PCIP44","0","Percentage of degrees awarded in Public Administration And Social Service Professions."
"PCIP45","0.1992","Percentage of degrees awarded in Social Sciences."
"PCIP46","0","Percentage of degrees awarded in Construction Trades."
"PCIP47","0","Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians."
"PCIP48","0","Percentage of degrees awarded in Precision Production."
"PCIP49","0","Percentage of degrees awarded in Transportation And Materials Moving."
"PCIP50","0.0986","Percentage of degrees awarded in Visual And Performing Arts."
"PCIP51","0","Percentage of degrees awarded in Health Professions And Related Programs."
"PCIP52","0","Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services."
"PCIP54","0.0644","Percentage of degrees awarded in History."
"CIP01CERT1","0","Certificate of less than one academic year in Agriculture, Agriculture Operations, And Related Sciences."
"CIP01CERT2","0","Certificate of at least one but less than two academic years in Agriculture, Agriculture Operations, And Related Sciences."
"CIP01ASSOC","0","Associate degree in Agriculture, Agriculture Operations, And Related Sciences."
"CIP01CERT4","0","Awards of at least two but less than four academic years in Agriculture, Agriculture Operations, And Related Sciences."
"CIP01BACHL","0","Bachelor's degree in Agriculture, Agriculture Operations, And Related Sciences."
"CIP03CERT1","0","Certificate of less than one academic year in Natural Resources And Conservation."
"CIP03CERT2","0","Certificate of at least one but less than two academic years in Natural Resources And Conservation."
"CIP03ASSOC","0","Associate degree in Natural Resources And Conservation."
"CIP03CERT4","0","Award of at least two but less than four academic years in Natural Resources And Conservation."
"CIP03BACHL","1","Bachelor's degree in Natural Resources And Conservation."
"CIP04CERT1","0","Certificate of less than one academic year in Architecture And Related Services."
"CIP04CERT2","0","Certificate of at least one but less than two academic years in Architecture And Related Services."
"CIP04ASSOC","0","Associate degree in Architecture And Related Services."
"CIP04CERT4","0","Award of more than two but less than four academic years in Architecture And Related Services."
"CIP04BACHL","0","Bachelor's degree in Architecture And Related Services."
"CIP05CERT1","0","Certificate of less than one academic year in Area, Ethnic, Cultural, Gender, And Group Studies."
"CIP05CERT2","0","Certificate of at least one but less than two academic years in Area, Ethnic, Cultural, Gender, And Group Studies."
"CIP05ASSOC","0","Associate degree in Area, Ethnic, Cultural, Gender, And Group Studies."
"CIP05CERT4","0","Award of more than two but less than four academic years in Area, Ethnic, Cultural, Gender, And Group Studies."
"CIP05BACHL","1","Bachelor's degree in Area, Ethnic, Cultural, Gender, And Group Studies."
"CIP09CERT1","0","Certificate of less than one academic year in Communication, Journalism, And Related Programs."
"CIP09CERT2","0","Certificate of at least one but less than two academic years in Communication, Journalism, And Related Programs."
"CIP09ASSOC","0","Associate degree in Communication, Journalism, And Related Programs."
"CIP09CERT4","0","Award of more than two but less than four academic years in Communication, Journalism, And Related Programs."
"CIP09BACHL","0","Bachelor's degree in Communication, Journalism, And Related Programs."
"CIP10CERT1","0","Certificate of less than one academic year in Communications Technologies/Technicians And Support Services."
"CIP10CERT2","0","Certificate of at least one but less than two academic years in Communications Technologies/Technicians And Support Services."
"CIP10ASSOC","0","Associate degree in Communications Technologies/Technicians And Support Services."
"CIP10CERT4","0","Award of more than two but less than four academic years in Communications Technologies/Technicians And Support Services."
"CIP10BACHL","0","Bachelor's degree in Communications Technologies/Technicians And Support Services."
"CIP11CERT1","0","Certificate of less than one academic year in Computer And Information Sciences And Support Services."
"CIP11CERT2","0","Certificate of at least one but less than two academic years in Computer And Information Sciences And Support Services."
"CIP11ASSOC","0","Associate degree in Computer And Information Sciences And Support Services."
"CIP11CERT4","0","Award of more than two but less than four academic years in Computer And Information Sciences And Support Services."
"CIP11BACHL","1","Bachelor's degree in Computer And Information Sciences And Support Services."
"CIP12CERT1","0","Certificate of less than one academic year in Personal And Culinary Services."
"CIP12CERT2","0","Certificate of at least one but less than two academic years in Personal And Culinary Services."
"CIP12ASSOC","0","Associate degree in Personal And Culinary Services."
"CIP12CERT4","0","Award of more than two but less than four academic years in Personal And Culinary Services."
"CIP12BACHL","0","Bachelor's degree in Personal And Culinary Services."
"CIP13CERT1","0","Certificate of less than one academic year in Education."
"CIP13CERT2","0","Certificate of at least one but less than two academic years in Education."
"CIP13ASSOC","0","Associate degree in Education."
"CIP13CERT4","0","Award of more than two but less than four academic years in Education."
"CIP13BACHL","0","Bachelor's degree in Education."
"CIP14CERT1","0","Certificate of less than one academic year in Engineering."
"CIP14CERT2","0","Certificate of at least one but less than two academic years in Engineering."
"CIP14ASSOC","0","Associate degree in Engineering."
"CIP14CERT4","0","Award of more than two but less than four academic years in Engineering."
"CIP14BACHL","0","Bachelor's degree in Engineering."
"CIP15CERT1","0","Certificate of less than one academic year in Engineering Technologies And Engineering-Related Fields."
"CIP15CERT2","0","Certificate of at least one but less than two academic years in Engineering Technologies And Engineering-Related Fields."
"CIP15ASSOC","0","Associate degree in Engineering Technologies And Engineering-Related Fields."
"CIP15CERT4","0","Award of more than two but less than four academic years in Engineering Technologies And Engineering-Related Fields."
"CIP15BACHL","0","Bachelor's degree in Engineering Technologies And Engineering-Related Fields."
"CIP16CERT1","0","Certificate of less than one academic year in Foreign Languages, Literatures, And Linguistics."
"CIP16CERT2","0","Certificate of at least one but less than two academic years in Foreign Languages, Literatures, And Linguistics."
"CIP16ASSOC","0","Associate degree in Foreign Languages, Literatures, And Linguistics."
"CIP16CERT4","0","Award of more than two but less than four academic years in Foreign Languages, Literatures, And Linguistics."
"CIP16BACHL","1","Bachelor's degree in Foreign Languages, Literatures, And Linguistics."
"CIP19CERT1","0","Certificate of less than one academic year in Family And Consumer Sciences/Human Sciences."
